ID,mass,MpH,MpNH4,MpNa,MmH,MmHpCHO2
PI 28:2;O2,782.421763,783.429043,800.455593,805.410983,781.414483,0
PI 30:0,782.494533,783.501813,800.528363,805.483753,781.487253,0
PI O-31:0,782.530918,783.538198,800.564748,805.520138,781.523638,0
PI 31:4,788.447583,789.454863,806.481413,811.436803,787.440303,0
PI 31:3,790.463233,791.470513,808.497063,813.452453,789.455953,0
PI 31:2,792.478883,793.486163,810.512713,815.468103,791.471603,0
PI O-32:2,792.515268,793.522548,810.549098,815.504488,791.507988,0
PI 31:1,794.494533,795.501813,812.528363,817.483753,793.487253,0
PI O-32:1,794.530918,795.538198,812.564748,817.520138,793.523638,0
PI 28:3;O3,796.401028,797.408308,814.434858,819.390248,795.393748,0
PI 31:0,796.510183,797.517463,814.544013,819.499403,795.502903,0
PI O-32:0,796.546568,797.553848,814.580398,819.535788,795.539288,0
PI 28:2;O3,798.416678,799.423958,816.450508,821.405898,797.409398,0
PI 32:5,800.447583,801.454863,818.481413,823.436803,799.440303,0
PI 32:4,802.463233,803.470513,820.497063,825.452453,801.455953,0
PI 32:3,804.478883,805.486163,822.512713,827.468103,803.471603,0
PI O-33:3,804.515268,805.522548,822.549098,827.504488,803.507988,0
PI 30:4;O2,806.421763,807.429043,824.455593,829.410983,805.414483,0
PI 32:2,806.494533,807.501813,824.528363,829.483753,805.487253,0
PI O-33:2,806.530918,807.538198,824.564748,829.520138,805.523638,0
PI 30:3;O2,808.437413,809.444693,826.471243,831.426633,807.430133,0
PI 32:1,808.510183,809.517463,826.544013,831.499403,807.502903,0
PI O-33:1,808.546568,809.553848,826.580398,831.535788,807.539288,0
PI 32:0,810.525833,811.533113,828.559663,833.515053,809.518553,0
PI O-33:0,810.562218,811.569498,828.596048,833.551438,809.554938,0
PI 33:5,814.463233,815.470513,832.497063,837.452453,813.455953,0
PI O-34:5,814.499618,815.506898,832.533448,837.488838,813.492338,0
PI 33:4,816.478883,817.486163,834.512713,839.468103,815.471603,0
PI O-34:4,816.515268,817.522548,834.549098,839.504488,815.507988,0
PI 33:3,818.494533,819.501813,836.528363,841.483753,817.487253,0
PI O-34:3,818.530918,819.538198,836.564748,841.520138,817.523638,0
PI 33:2,820.510183,821.517463,838.544013,843.499403,819.502903,0
PI O-34:2,820.546568,821.553848,838.580398,843.535788,819.539288,0
PI 30:4;O3,822.416678,823.423958,840.450508,845.405898,821.409398,0
PI 33:1,822.525833,823.533113,840.559663,845.515053,821.518553,0
PI O-34:1,822.562218,823.569498,840.596048,845.551438,821.554938,0
PI 30:3;O3,824.432328,825.439608,842.466158,847.421548,823.425048,0
PI 33:0,824.541483,825.548763,842.575313,847.530703,823.534203,0
PI O-34:0,824.577868,825.585148,842.611698,847.567088,823.570588,0
PI 34:6,826.463233,827.470513,844.497063,849.452453,825.455953,0
PI 34:5,828.478883,829.486163,846.512713,851.468103,827.471603,0
PI 34:4,830.494533,831.501813,848.528363,853.483753,829.487253,0
PI 34:3,832.510183,833.517463,850.544013,855.499403,831.502903,0
PI O-35:3,832.546568,833.553848,850.580398,855.535788,831.539288,0
PI 34:2,834.525833,835.533113,852.559663,857.515053,833.518553,0
PI O-35:2,834.562218,835.569498,852.596048,857.551438,833.554938,0
PI 34:1,836.541483,837.548763,854.575313,859.530703,835.534203,0
PI O-35:1,836.577868,837.585148,854.611698,859.567088,835.570588,0
PI 34:0,838.557133,839.564413,856.590963,861.546353,837.549853,0
PI O-35:0,838.593518,839.600798,856.627348,861.582738,837.586238,0
PI 35:6,840.478883,841.486163,858.512713,863.468103,839.471603,0
PI O-36:6,840.515268,841.522548,858.549098,863.504488,839.507988,0
PI 35:5,842.494533,843.501813,860.528363,865.483753,841.487253,0
PI O-36:5,842.530918,843.538198,860.564748,865.520138,841.523638,0
PI 35:4,844.510183,845.517463,862.544013,867.499403,843.502903,0
PI O-36:4,844.546568,845.553848,862.580398,867.535788,843.539288,0
PI 35:3,846.525833,847.533113,864.559663,869.515053,845.518553,0
PI O-36:3,846.562218,847.569498,864.596048,869.551438,845.554938,0
PI 34:3;O,848.505098,849.512378,866.538928,871.494318,847.497818,0
PI 35:2,848.541483,849.548763,866.575313,871.530703,847.534203,0
PI O-36:2,848.577868,849.585148,866.611698,871.567088,847.570588,0
PI 36:8,850.463233,851.470513,868.497063,873.452453,849.455953,0
PI 35:1,850.557133,851.564413,868.590963,873.546353,849.549853,0
PI O-36:1,850.593518,851.600798,868.627348,873.582738,849.586238,0
PI 36:7,852.478883,853.486163,870.512713,875.468103,851.471603,0
PI 35:0,852.572783,853.580063,870.606613,875.562003,851.565503,0
PI O-36:0,852.609168,853.616448,870.642998,875.598388,851.601888,0
PI 36:6,854.494533,855.501813,872.528363,877.483753,853.487253,0
PI 36:5,856.510183,857.517463,874.544013,879.499403,855.502903,0
PI 36:4,858.525833,859.533113,876.559663,881.515053,857.518553,0
PI 36:3,860.541483,861.548763,878.575313,883.530703,859.534203,0
PI O-37:3,860.577868,861.585148,878.611698,883.567088,859.570588,0
PI 36:2,862.557133,863.564413,880.590963,885.546353,861.549853,0
PI O-37:2,862.593518,863.600798,880.627348,885.582738,861.586238,0
PI 36:1,864.572783,865.580063,882.606613,887.562003,863.565503,0
PI O-37:1,864.609168,865.616448,882.642998,887.598388,863.601888,0
PI 37:7,866.494533,867.501813,884.528363,889.483753,865.487253,0
PI O-38:7,866.530918,867.538198,884.564748,889.520138,865.523638,0
PI 36:0,866.588433,867.595713,884.622263,889.577653,865.581153,0
PI O-37:0,866.624818,867.632098,884.658648,889.614038,865.617538,0
PI 37:6,868.510183,869.517463,886.544013,891.499403,867.502903,0
PI O-38:6,868.546568,869.553848,886.580398,891.535788,867.539288,0
PI 37:5,870.525833,871.533113,888.559663,893.515053,869.518553,0
PI O-38:5,870.562218,871.569498,888.596048,893.551438,869.554938,0
PI 37:4,872.541483,873.548763,890.575313,895.530703,871.534203,0
PI O-38:4,872.577868,873.585148,890.611698,895.567088,871.570588,0
PI 37:3,874.557133,875.564413,892.590963,897.546353,873.549853,0
PI O-38:3,874.593518,875.600798,892.627348,897.582738,873.586238,0
PI 38:9,876.478883,877.486163,894.512713,899.468103,875.471603,0
PI 37:2,876.572783,877.580063,894.606613,899.562003,875.565503,0
PI O-38:2,876.609168,877.616448,894.642998,899.598388,875.601888,0
PI 38:8,878.494533,879.501813,896.528363,901.483753,877.487253,0
PI 37:1,878.588433,879.595713,896.622263,901.577653,877.581153,0
PI O-38:1,878.624818,879.632098,896.658648,901.614038,877.617538,0
PI 38:7,880.510183,881.517463,898.544013,903.499403,879.502903,0
PI 37:0,880.604083,881.611363,898.637913,903.593303,879.596803,0
PI O-38:0,880.640468,881.647748,898.674298,903.629688,879.633188,0
PI 38:6,882.525833,883.533113,900.559663,905.515053,881.518553,0
PI 38:5,884.541483,885.548763,902.575313,907.530703,883.534203,0
PI 38:4,886.557133,887.564413,904.590963,909.546353,885.549853,0
PI 38:3,888.572783,889.580063,906.606613,911.562003,887.565503,0
PI 38:2,890.588433,891.595713,908.622263,913.577653,889.581153,0
PI O-39:2,890.624818,891.632098,908.658648,913.614038,889.617538,0
PI 39:8,892.510183,893.517463,910.544013,915.499403,891.502903,0
PI 38:1,892.604083,893.611363,910.637913,915.593303,891.596803,0
PI O-39:1,892.640468,893.647748,910.674298,915.629688,891.633188,0
PI 39:7,894.525833,895.533113,912.559663,917.515053,893.518553,0
PI O-40:7,894.562218,895.569498,912.596048,917.551438,893.554938,0
PI 38:0,894.619733,895.627013,912.653563,917.608953,893.612453,0
PI O-39:0,894.656118,895.663398,912.689948,917.645338,893.648838,0
PI 39:6,896.541483,897.548763,914.575313,919.530703,895.534203,0
PI O-40:6,896.577868,897.585148,914.611698,919.567088,895.570588,0
PI 39:5,898.557133,899.564413,916.590963,921.546353,897.549853,0
PI O-40:5,898.593518,899.600798,916.627348,921.582738,897.586238,0
PI 39:4,900.572783,901.580063,918.606613,923.562003,899.565503,0
PI O-40:4,900.609168,901.616448,918.642998,923.598388,899.601888,0
PI 40:10,902.494533,903.501813,920.528363,925.483753,901.487253,0
PI 39:3,902.588433,903.595713,920.622263,925.577653,901.581153,0
PI O-40:3,902.624818,903.632098,920.658648,925.614038,901.617538,0
PI 40:9,904.510183,905.517463,922.544013,927.499403,903.502903,0
PI 39:2,904.604083,905.611363,922.637913,927.593303,903.596803,0
PI O-40:2,904.640468,905.647748,922.674298,927.629688,903.633188,0
PI 40:8,906.525833,907.533113,924.559663,929.515053,905.518553,0
PI 39:1,906.619733,907.627013,924.653563,929.608953,905.612453,0
PI O-40:1,906.656118,907.663398,924.689948,929.645338,905.648838,0
PI 40:7,908.541483,909.548763,926.575313,931.530703,907.534203,0
PI 39:0,908.635383,909.642663,926.669213,931.624603,907.628103,0
PI O-40:0,908.671768,909.679048,926.705598,931.660988,907.664488,0
PI dO-41:0,908.708153,909.715433,926.741983,931.697373,907.700873,0
PI 40:6,910.557133,911.564413,928.590963,933.546353,909.549853,0
PI 40:5,912.572783,913.580063,930.606613,935.562003,911.565503,0
PI 40:4,914.588433,915.595713,932.622263,937.577653,913.581153,0
PI 40:3,916.604083,917.611363,934.637913,939.593303,915.596803,0
PI 40:2,918.619733,919.627013,936.653563,941.608953,917.612453,0
PI 40:1,920.635383,921.642663,938.669213,943.624603,919.628103,0
PI O-41:1,920.671768,921.679048,938.705598,943.660988,919.664488,0
PI 41:7,922.557133,923.564413,940.590963,945.546353,921.549853,0
PI O-42:7,922.593518,923.600798,940.627348,945.582738,921.586238,0
PI 40:0,922.651033,923.658313,940.684863,945.640253,921.643753,0
PI O-41:0,922.687418,923.694698,940.721248,945.676638,921.680138,0
PI 41:6,924.572783,925.580063,942.606613,947.562003,923.565503,0
PI O-42:6,924.609168,925.616448,942.642998,947.598388,923.601888,0
PI 41:5,926.588433,927.595713,944.622263,949.577653,925.581153,0
PI O-42:5,926.624818,927.632098,944.658648,949.614038,925.617538,0
PI 42:11,928.510183,929.517463,946.544013,951.499403,927.502903,0
PI 41:4,928.604083,929.611363,946.637913,951.593303,927.596803,0
PI O-42:4,928.640468,929.647748,946.674298,951.629688,927.633188,0
PI 42:10,930.525833,931.533113,948.559663,953.515053,929.518553,0
PI 41:3,930.619733,931.627013,948.653563,953.608953,929.612453,0
PI O-42:3,930.656118,931.663398,948.689948,953.645338,929.648838,0
PI 42:9,932.541483,933.548763,950.575313,955.530703,931.534203,0
PI 41:2,932.635383,933.642663,950.669213,955.624603,931.628103,0
PI O-42:2,932.671768,933.679048,950.705598,955.660988,931.664488,0
PI 42:8,934.557133,935.564413,952.590963,957.546353,933.549853,0
PI 41:1,934.651033,935.658313,952.684863,957.640253,933.643753,0
PI O-42:1,934.687418,935.694698,952.721248,957.676638,933.680138,0
PI 42:7,936.572783,937.580063,954.606613,959.562003,935.565503,0
PI 41:0,936.666683,937.673963,954.700513,959.655903,935.659403,0
PI O-42:0,936.703068,937.710348,954.736898,959.692288,935.695788,0
PI 42:6,938.588433,939.595713,956.622263,961.577653,937.581153,0
PI 42:5,940.604083,941.611363,958.637913,963.593303,939.596803,0
PI 42:4,942.619733,943.627013,960.653563,965.608953,941.612453,0
PI 42:3,944.635383,945.642663,962.669213,967.624603,943.628103,0
PI 42:2,946.651033,947.658313,964.684863,969.640253,945.643753,0
PI 42:1,948.666683,949.673963,966.700513,971.655903,947.659403,0
PI 42:0,950.682333,951.689613,968.716163,973.671553,949.675053,0
PI 43:6,952.604083,953.611363,970.637913,975.593303,951.596803,0
PI 44:12,954.525833,955.533113,972.559663,977.515053,953.518553,0
PI 43:4,956.635383,957.642663,974.669213,979.624603,955.628103,0
PI 44:10,958.557133,959.564413,976.590963,981.546353,957.549853,0
PI 43:2,960.666683,961.673963,978.700513,983.655903,959.659403,0
PI 44:8,962.588433,963.595713,980.622263,985.577653,961.581153,0
PI 43:1,962.682333,963.689613,980.716163,985.671553,961.675053,0
PI 44:7,964.604083,965.611363,982.637913,987.593303,963.596803,0
PI 43:0,964.697983,965.705263,982.731813,987.687203,963.690703,0
PI 44:6,966.619733,967.627013,984.653563,989.608953,965.612453,0
PI 44:5,968.635383,969.642663,986.669213,991.624603,967.628103,0
PI 44:4,970.651033,971.658313,988.684863,993.640253,969.643753,0
PI 44:3,972.666683,973.673963,990.700513,995.655903,971.659403,0
PI 44:2,974.682333,975.689613,992.716163,997.671553,973.675053,0
PI 44:1,976.697983,977.705263,994.731813,999.687203,975.690703,0
PI 44:0,978.713633,979.720913,996.747463,1001.702853,977.706353,0
