ID,mass,MpH,MpNH4,MpNa,MmH,MmHpCHO2
PC O-36:1,773.629842,774.637122,791.663672,796.619062,0,818.628042
PC 36:7,775.515207,776.522487,793.549037,798.504427,0,820.513407
PC 35:0,775.609107,776.616387,793.642937,798.598327,0,820.607307
PC O-36:0,775.645492,776.652772,793.679322,798.634712,0,820.643692
PC 36:6,777.530857,778.538137,795.564687,800.520077,0,822.529057
PC 36:5,779.546507,780.553787,797.580337,802.535727,0,824.544707
PC 36:4,781.562157,782.569437,799.595987,804.551377,0,826.560357
PC O-37:4,781.598542,782.605822,799.632372,804.587762,0,826.596742
PC 36:3,783.577807,784.585087,801.611637,806.567027,0,828.576007
PC O-37:3,783.614192,784.621472,801.648022,806.603412,0,828.612392
PC O-38:9,785.535942,786.543222,803.569772,808.525162,0,830.534142
PC 36:2,785.593457,786.600737,803.627287,808.582677,0,830.591657
PC O-37:2,785.629842,786.637122,803.663672,808.619062,0,830.628042
PC O-38:8,787.551592,788.558872,805.585422,810.540812,0,832.549792
PC 36:1,787.609107,788.616387,805.642937,810.598327,0,832.607307
PC O-37:1,787.645492,788.652772,805.679322,810.634712,0,832.643692
PC 37:7,789.530857,790.538137,807.564687,812.520077,0,834.529057
PC O-38:7,789.567242,790.574522,807.601072,812.556462,0,834.565442
PC 36:0,789.624757,790.632037,807.658587,812.613977,0,834.622957
PC O-37:0,789.661142,790.668422,807.694972,812.650362,0,834.659342
PC 37:6,791.546507,792.553787,809.580337,814.535727,0,836.544707
PC O-38:6,791.582892,792.590172,809.616722,814.572112,0,836.581092
PC 37:5,793.562157,794.569437,811.595987,816.551377,0,838.560357
PC O-38:5,793.598542,794.605822,811.632372,816.587762,0,838.596742
PC 37:4,795.577807,796.585087,813.611637,818.567027,0,840.576007
PC O-38:4,795.614192,796.621472,813.648022,818.603412,0,840.612392
PC 36:4;O,797.557072,798.564352,815.590902,820.546292,0,842.555272
PC 37:3,797.593457,798.600737,815.627287,820.582677,0,842.591657
PC O-38:3,797.629842,798.637122,815.663672,820.619062,0,842.628042
PC 38:9,799.515207,800.522487,817.549037,822.504427,0,844.513407
PC dO-40:9,799.587977,800.595257,817.621807,822.577197,0,844.586177
PC 37:2,799.609107,800.616387,817.642937,822.598327,0,844.607307
PC O-38:2,799.645492,800.652772,817.679322,822.634712,0,844.643692
PC 38:8,801.530857,802.538137,819.564687,824.520077,0,846.529057
PC dO-40:8,801.603627,802.610907,819.637457,824.592847,0,846.601827
PC 37:1,801.624757,802.632037,819.658587,824.613977,0,846.622957
PC O-38:1,801.661142,802.668422,819.694972,824.650362,0,846.659342
PC 38:7,803.546507,804.553787,821.580337,826.535727,0,848.544707
PC 37:0,803.640407,804.647687,821.674237,826.629627,0,848.638607
PC O-38:0,803.676792,804.684072,821.710622,826.666012,0,848.674992
PC 38:6,805.562157,806.569437,823.595987,828.551377,0,850.560357
PC dO-40:6,805.634927,806.642207,823.668757,828.624147,0,850.633127
PC 38:5,807.577807,808.585087,825.611637,830.567027,0,852.576007
PC 36:6;O2,809.520687,810.527967,827.554517,832.509907,0,854.518887
PC 38:4,809.593457,810.600737,827.627287,832.582677,0,854.591657
PC dO-40:4,809.666227,810.673507,827.700057,832.655447,0,854.664427
PC 36:5;O2,811.536337,812.543617,829.570167,834.525557,0,856.534537
PC 38:3,811.609107,812.616387,829.642937,834.598327,0,856.607307
PC O-40:9,813.567242,814.574522,831.601072,836.556462,0,858.565442
PC 38:2,813.624757,814.632037,831.658587,836.613977,0,858.622957
PC O-39:2,813.661142,814.668422,831.694972,836.650362,0,858.659342
PC dO-40:2,813.697527,814.704807,831.731357,836.686747,0,858.695727
PC 39:8,815.546507,816.553787,833.580337,838.535727,0,860.544707
PC O-40:8,815.582892,816.590172,833.616722,838.572112,0,860.581092
PC 38:1,815.640407,816.647687,833.674237,838.629627,0,860.638607
PC O-39:1,815.676792,816.684072,833.710622,838.666012,0,860.674992
PC 39:7,817.562157,818.569437,835.595987,840.551377,0,862.560357
PC O-40:7,817.598542,818.605822,835.632372,840.587762,0,862.596742
PC 38:0,817.656057,818.663337,835.689887,840.645277,0,862.654257
PC O-39:0,817.692442,818.699722,835.726272,840.681662,0,862.690642
PC dO-40:0,817.728827,818.736107,835.762657,840.718047,0,862.727027
PC 39:6,819.577807,820.585087,837.611637,842.567027,0,864.576007
PC O-40:6,819.614192,820.621472,837.648022,842.603412,0,864.612392
PC 39:5,821.593457,822.600737,839.627287,844.582677,0,866.591657
PC O-40:5,821.629842,822.637122,839.663672,844.619062,0,866.628042
PC 39:4,823.609107,824.616387,841.642937,846.598327,0,868.607307
PC O-40:4,823.645492,824.652772,841.679322,846.634712,0,868.643692
PC 40:10,825.530857,826.538137,843.564687,848.520077,0,870.529057
PC 38:4;O,825.588372,826.595652,843.622202,848.577592,0,870.586572
PC 39:3,825.624757,826.632037,843.658587,848.613977,0,870.622957
PC O-40:3,825.661142,826.668422,843.694972,848.650362,0,870.659342
PC 36:5;O3,827.531252,828.538532,845.565082,850.520472,0,872.529452
PC 40:9,827.546507,828.553787,845.580337,850.535727,0,872.544707
PC 39:2,827.640407,828.647687,845.674237,850.629627,0,872.638607
PC O-40:2,827.676792,828.684072,845.710622,850.666012,0,872.674992
PC 36:4;O3,829.546902,830.554182,847.580732,852.536122,0,874.545102
PC 40:8,829.562157,830.569437,847.595987,852.551377,0,874.560357
PC 39:1,829.656057,830.663337,847.689887,852.645277,0,874.654257
PC O-40:1,829.692442,830.699722,847.726272,852.681662,0,874.690642
PC 36:3;O3,831.562552,832.569832,849.596382,854.551772,0,876.560752
PC 40:7,831.577807,832.585087,849.611637,854.567027,0,876.576007
PC 39:0,831.671707,832.678987,849.705537,854.660927,0,876.669907
PC O-40:0,831.708092,832.715372,849.741922,854.697312,0,876.706292
PC 40:6,833.593457,834.600737,851.627287,856.582677,0,878.591657
PC 40:5,835.609107,836.616387,853.642937,858.598327,0,880.607307
PC 40:4,837.624757,838.632037,855.658587,860.613977,0,882.622957
PC 40:3,839.640407,840.647687,857.674237,862.629627,0,884.638607
PC 40:2,841.656057,842.663337,859.689887,864.645277,0,886.654257
PC 40:1,843.671707,844.678987,861.705537,866.660927,0,888.669907
PC O-41:1,843.708092,844.715372,861.741922,866.697312,0,888.706292
PC 41:7,845.593457,846.600737,863.627287,868.582677,0,890.591657
PC O-42:7,845.629842,846.637122,863.663672,868.619062,0,890.628042
PC 40:0,845.687357,846.694637,863.721187,868.676577,0,890.685557
PC O-41:0,845.723742,846.731022,863.757572,868.712962,0,890.721942
PC 41:6,847.609107,848.616387,865.642937,870.598327,0,892.607307
PC O-42:6,847.645492,848.652772,865.679322,870.634712,0,892.643692
PC 41:5,849.624757,850.632037,867.658587,872.613977,0,894.622957
PC O-42:5,849.661142,850.668422,867.694972,872.650362,0,894.659342
PC 42:11,851.546507,852.553787,869.580337,874.535727,0,896.544707
PC 41:4,851.640407,852.647687,869.674237,874.629627,0,896.638607
PC O-42:4,851.676792,852.684072,869.710622,874.666012,0,896.674992
PC 42:10,853.562157,854.569437,871.595987,876.551377,0,898.560357
PC 41:3,853.656057,854.663337,871.689887,876.645277,0,898.654257
PC O-42:3,853.692442,854.699722,871.726272,876.681662,0,898.690642
PC 42:9,855.577807,856.585087,873.611637,878.567027,0,900.576007
PC 41:2,855.671707,856.678987,873.705537,878.660927,0,900.669907
PC O-42:2,855.708092,856.715372,873.741922,878.697312,0,900.706292
PC 42:8,857.593457,858.600737,875.627287,880.582677,0,902.591657
PC 41:1,857.687357,858.694637,875.721187,880.676577,0,902.685557
PC O-42:1,857.723742,858.731022,875.757572,880.712962,0,902.721942
