ID,mass,MpH,MpNH4,MpNa,MmH,MmHpCHO2
PE O-40:5,779.582892,780.590172,797.616722,802.572112,778.575612,824.581092
PE 38:5;O,781.525772,782.533052,799.559602,804.514992,780.518492,826.523972
PE 39:4,781.562157,782.569437,799.595987,804.551377,780.554877,826.560357
PE O-40:4,781.598542,782.605822,799.632372,804.587762,780.591262,826.596742
PE 40:10,783.483907,784.491187,801.517737,806.473127,782.476627,828.482107
PE 38:4;O,783.541422,784.548702,801.575252,806.530642,782.534142,828.539622
PE 39:3,783.577807,784.585087,801.611637,806.567027,782.570527,828.576007
PE O-40:3,783.614192,784.621472,801.648022,806.603412,782.606912,828.612392
PE 40:9,785.499557,786.506837,803.533387,808.488777,784.492277,830.497757
PE 39:2,785.593457,786.600737,803.627287,808.582677,784.586177,830.591657
PE O-40:2,785.629842,786.637122,803.663672,808.619062,784.622562,830.628042
PE 40:8,787.515207,788.522487,805.549037,810.504427,786.507927,832.513407
PE 39:1,787.609107,788.616387,805.642937,810.598327,786.601827,832.607307
PE O-40:1,787.645492,788.652772,805.679322,810.634712,786.638212,832.643692
PE 40:7,789.530857,790.538137,807.564687,812.520077,788.523577,834.529057
PE 39:0,789.624757,790.632037,807.658587,812.613977,788.617477,834.622957
PE O-40:0,789.661142,790.668422,807.694972,812.650362,788.653862,834.659342
PE 40:6,791.546507,792.553787,809.580337,814.535727,790.539227,836.544707
PE O-40:7;O,791.546507,792.553787,809.580337,814.535727,790.539227,836.544707
PE dO-40:0,791.676792,792.684072,809.710622,814.666012,790.669512,836.674992
PE 40:5,793.562157,794.569437,811.595987,816.551377,792.554877,838.560357
PE 40:4,795.577807,796.585087,813.611637,818.567027,794.570527,840.576007
PE 40:3,797.593457,798.600737,815.627287,820.582677,796.586177,842.591657
PE 40:2,799.609107,800.616387,817.642937,822.598327,798.601827,844.607307
PE 40:1,801.624757,802.632037,819.658587,824.613977,800.617477,846.622957
PE O-41:1,801.661142,802.668422,819.694972,824.650362,800.653862,846.659342
PE 41:7,803.546507,804.553787,821.580337,826.535727,802.539227,848.544707
PE O-42:7,803.582892,804.590172,821.616722,826.572112,802.575612,848.581092
PE 40:0,803.640407,804.647687,821.674237,826.629627,802.633127,848.638607
PE O-41:0,803.676792,804.684072,821.710622,826.666012,802.669512,848.674992
PE 41:6,805.562157,806.569437,823.595987,828.551377,804.554877,850.560357
PE O-42:6,805.598542,806.605822,823.632372,828.587762,804.591262,850.596742
PE 40:6;O,807.541422,808.548702,825.575252,830.530642,806.534142,852.539622
PE 41:5,807.577807,808.585087,825.611637,830.567027,806.570527,852.576007
PE O-42:5,807.614192,808.621472,825.648022,830.603412,806.606912,852.612392
PE 42:11,809.499557,810.506837,827.533387,832.488777,808.492277,854.497757
PE 41:4,809.593457,810.600737,827.627287,832.582677,808.586177,854.591657
PE O-42:4,809.629842,810.637122,827.663672,832.619062,808.622562,854.628042
PE 42:10,811.515207,812.522487,829.549037,834.504427,810.507927,856.513407
PE 41:3,811.609107,812.616387,829.642937,834.598327,810.601827,856.607307
PE O-42:3,811.645492,812.652772,829.679322,834.634712,810.638212,856.643692
PE 42:9,813.530857,814.538137,831.564687,836.520077,812.523577,858.529057
PE 41:2,813.624757,814.632037,831.658587,836.613977,812.617477,858.622957
PE O-42:2,813.661142,814.668422,831.694972,836.650362,812.653862,858.659342
PE 42:8,815.546507,816.553787,833.580337,838.535727,814.539227,860.544707
PE 41:1,815.640407,816.647687,833.674237,838.629627,814.633127,860.638607
PE O-42:1,815.676792,816.684072,833.710622,838.666012,814.669512,860.674992
PE 42:7,817.562157,818.569437,835.595987,840.551377,816.554877,862.560357
PE 41:0,817.656057,818.663337,835.689887,840.645277,816.648777,862.654257
PE-NMe 40:0,817.656057,818.663337,835.689887,840.645277,816.648777,862.654257
PE O-42:0,817.692442,818.699722,835.726272,840.681662,816.685162,862.690642
PE 42:6,819.577807,820.585087,837.611637,842.567027,818.570527,864.576007
PE 42:5,821.593457,822.600737,839.627287,844.582677,820.586177,866.591657
PE 42:4,823.609107,824.616387,841.642937,846.598327,822.601827,868.607307
PE 42:3,825.624757,826.632037,843.658587,848.613977,824.617477,870.622957
PE 42:2,827.640407,828.647687,845.674237,850.629627,826.633127,872.638607
PE 42:1,829.656057,830.663337,847.689887,852.645277,828.648777,874.654257
PE 42:0,831.671707,832.678987,849.705537,854.660927,830.664427,876.669907
PE-NMe2 40:0,831.671707,832.678987,849.705537,854.660927,830.664427,876.669907
PE 43:6,833.593457,834.600737,851.627287,856.582677,832.586177,878.591657
PE 44:12,835.515207,836.522487,853.549037,858.504427,834.507927,880.513407
PE 43:4,837.624757,838.632037,855.658587,860.613977,836.617477,882.622957
PE 44:10,839.546507,840.553787,857.580337,862.535727,838.539227,884.544707
PE 43:2,841.656057,842.663337,859.689887,864.645277,840.648777,886.654257
PE 44:8,843.577807,844.585087,861.611637,866.567027,842.570527,888.576007
PE 43:1,843.671707,844.678987,861.705537,866.660927,842.664427,888.669907
PE 44:7,845.593457,846.600737,863.627287,868.582677,844.586177,890.591657
PE 43:0,845.687357,846.694637,863.721187,868.676577,844.680077,890.685557
PE 44:6,847.609107,848.616387,865.642937,870.598327,846.601827,892.607307
PE 44:5,849.624757,850.632037,867.658587,872.613977,848.617477,894.622957
PE 44:4,851.640407,852.647687,869.674237,874.629627,850.633127,896.638607
PE 44:3,853.656057,854.663337,871.689887,876.645277,852.648777,898.654257
PE 44:2,855.671707,856.678987,873.705537,878.660927,854.664427,900.669907
PE 44:1,857.687357,858.694637,875.721187,880.676577,856.680077,902.685557
PE 44:0,859.703007,860.710287,877.736837,882.692227,858.695727,904.701207
PE 46:1,885.718657,886.725937,903.752487,908.707877,884.711377,930.716857
PE 52:4,963.765607,964.772887,981.799437,986.754827,962.758327,1008.763807
