ID,mass,MpH,MpNH4,MpNa,MmH,MmHpCHO2
PA O-33:1,646.493743,647.501023,664.527573,669.483743,645.486463,0
PA 32:0,648.473008,649.480288,666.506838,671.463008,647.465728,0
PA O-33:0,648.509393,649.516673,666.543223,671.499393,647.502113,0
PA 33:5,652.410408,653.417688,670.444238,675.400408,651.403128,0
PA O-34:5,652.446793,653.454073,670.480623,675.436793,651.439513,0
PA 33:4,654.426058,655.433338,672.459888,677.416058,653.418778,0
PA O-34:4,654.462443,655.469723,672.496273,677.452443,653.455163,0
PA 33:3,656.441708,657.448988,674.475538,679.431708,655.434428,0
PA O-34:3,656.478093,657.485373,674.511923,679.468093,655.470813,0
PA 33:2,658.457358,659.464638,676.491188,681.447358,657.450078,0
PA O-34:2,658.493743,659.501023,676.527573,681.483743,657.486463,0
PA 30:4;O3,660.363853,661.371133,678.397683,683.353853,659.356573,0
PA 33:1,660.473008,661.480288,678.506838,683.463008,659.465728,0
PA O-34:1,660.509393,661.516673,678.543223,683.499393,659.502113,0
PA 30:3;O3,662.379503,663.386783,680.413333,685.369503,661.372223,0
PA 33:0,662.488658,663.495938,680.522488,685.478658,661.481378,0
PA O-34:0,662.525043,663.532323,680.558873,685.515043,661.517763,0
PA 34:6,664.410408,665.417688,682.444238,687.400408,663.403128,0
PA 34:5,666.426058,667.433338,684.459888,689.416058,665.418778,0
PA 34:4,668.441708,669.448988,686.475538,691.431708,667.434428,0
PA 34:3,670.457358,671.464638,688.491188,693.447358,669.450078,0
PA O-35:3,670.493743,671.501023,688.527573,693.483743,669.486463,0
PA 34:2,672.473008,673.480288,690.506838,695.463008,671.465728,0
PA O-35:2,672.509393,673.516673,690.543223,695.499393,671.502113,0
PA 34:1,674.488658,675.495938,692.522488,697.478658,673.481378,0
PA O-35:1,674.525043,675.532323,692.558873,697.515043,673.517763,0
PA 34:0,676.504308,677.511588,694.538138,699.494308,675.497028,0
PA O-35:0,676.540693,677.547973,694.574523,699.530693,675.533413,0
PA 35:6,678.426058,679.433338,696.459888,701.416058,677.418778,0
PA O-36:6,678.462443,679.469723,696.496273,701.452443,677.455163,0
PA 35:5,680.441708,681.448988,698.475538,703.431708,679.434428,0
PA O-36:5,680.478093,681.485373,698.511923,703.468093,679.470813,0
PA 35:4,682.457358,683.464638,700.491188,705.447358,681.450078,0
PA O-36:4,682.493743,683.501023,700.527573,705.483743,681.486463,0
PA 35:3,684.473008,685.480288,702.506838,707.463008,683.465728,0
PA O-36:3,684.509393,685.516673,702.543223,707.499393,683.502113,0
PA 35:2,686.488658,687.495938,704.522488,709.478658,685.481378,0
PA O-36:2,686.525043,687.532323,704.558873,709.515043,685.517763,0
PA 36:8,688.410408,689.417688,706.444238,711.400408,687.403128,0
PA 35:1,688.504308,689.511588,706.538138,711.494308,687.497028,0
PA O-36:1,688.540693,689.547973,706.574523,711.530693,687.533413,0
PA 36:7,690.426058,691.433338,708.459888,713.416058,689.418778,0
PA 35:0,690.519958,691.527238,708.553788,713.509958,689.512678,0
PA O-36:0,690.556343,691.563623,708.590173,713.546343,689.549063,0
PA 36:6,692.441708,693.448988,710.475538,715.431708,691.434428,0
PA 36:5,694.457358,695.464638,712.491188,717.447358,693.450078,0
PA 36:4,696.473008,697.480288,714.506838,719.463008,695.465728,0
PA 36:3,698.488658,699.495938,716.522488,721.478658,697.481378,0
PA O-37:3,698.525043,699.532323,716.558873,721.515043,697.517763,0
PA 36:2,700.504308,701.511588,718.538138,723.494308,699.497028,0
PA O-37:2,700.540693,701.547973,718.574523,723.530693,699.533413,0
PA 36:1,702.519958,703.527238,720.553788,725.509958,701.512678,0
PA O-37:1,702.556343,703.563623,720.590173,725.546343,701.549063,0
PA 37:7,704.441708,705.448988,722.475538,727.431708,703.434428,0
PA O-38:7,704.478093,705.485373,722.511923,727.468093,703.470813,0
PA 36:0,704.535608,705.542888,722.569438,727.525608,703.528328,0
PA O-37:0,704.571993,705.579273,722.605823,727.561993,703.564713,0
PA 37:6,706.457358,707.464638,724.491188,729.447358,705.450078,0
PA O-38:6,706.493743,707.501023,724.527573,729.483743,705.486463,0
PA 37:5,708.473008,709.480288,726.506838,731.463008,707.465728,0
PA O-38:5,708.509393,709.516673,726.543223,731.499393,707.502113,0
PA 37:4,710.488658,711.495938,728.522488,733.478658,709.481378,0
PA O-38:4,710.525043,711.532323,728.558873,733.515043,709.517763,0
PA 37:3,712.504308,713.511588,730.538138,735.494308,711.497028,0
PA O-38:3,712.540693,713.547973,730.574523,735.530693,711.533413,0
PA 38:9,714.426058,715.433338,732.459888,737.416058,713.418778,0
PA 37:2,714.519958,715.527238,732.553788,737.509958,713.512678,0
PA O-38:2,714.556343,715.563623,732.590173,737.546343,713.549063,0
PA 38:8,716.441708,717.448988,734.475538,739.431708,715.434428,0
PA 37:1,716.535608,717.542888,734.569438,739.525608,715.528328,0
PA O-38:1,716.571993,717.579273,734.605823,739.561993,715.564713,0
PA 38:7,718.457358,719.464638,736.491188,741.447358,717.450078,0
PA 37:0,718.551258,719.558538,736.585088,741.541258,717.543978,0
PA O-38:0,718.587643,719.594923,736.621473,741.577643,717.580363,0
PA 38:6,720.473008,721.480288,738.506838,743.463008,719.465728,0
