ID,mass,MpH,MpNH4,MpNa,MmH,MmHpCHO2
PS 26:4;O2,675.338367,676.345647,693.372197,698.327587,674.331087,0
PS 28:2,675.411137,676.418417,693.444967,698.400357,674.403857,0
PS 25:4;O3,677.317632,678.324912,695.351462,700.306852,676.310352,0
PS 26:3;O2,677.354017,678.361297,695.387847,700.343237,676.346737,0
PS 27:2;O,677.390402,678.397682,695.424232,700.379622,676.383122,0
PS 28:1,677.426787,678.434067,695.460617,700.416007,676.419507,0
LPS O-29:2;O,677.463172,678.470452,695.497002,700.452392,676.455892,0
PS O-29:1,677.463172,678.470452,695.497002,700.452392,676.455892,0
PS 25:3;O3,679.333282,680.340562,697.367112,702.322502,678.326002,0
PS 28:0,679.442437,680.449717,697.476267,702.431657,678.435157,0
LPS O-29:1;O,679.478822,680.486102,697.512652,702.468042,678.471542,0
PS O-29:0,679.478822,680.486102,697.512652,702.468042,678.471542,0
PS 29:2,689.426787,690.434067,707.460617,712.416007,688.419507,0
PS O-30:2,689.463172,690.470452,707.497002,712.452392,688.455892,0
PS 26:4;O3,691.333282,692.340562,709.367112,714.322502,690.326002,0
PS 29:1,691.442437,692.449717,709.476267,714.431657,690.435157,0
PS O-30:1,691.478822,692.486102,709.512652,714.468042,690.471542,0
PS 26:3;O3,693.348932,694.356212,711.382762,716.338152,692.341652,0
PS 27:2;O2,693.385317,694.392597,711.419147,716.374537,692.378037,0
PS 29:0,693.458087,694.465367,711.491917,716.447307,692.450807,0
PS O-30:0,693.494472,694.501752,711.528302,716.483692,692.487192,0
PS 30:4,699.411137,700.418417,717.444967,722.400357,698.403857,0
PS 30:3,701.426787,702.434067,719.460617,724.416007,700.419507,0
PS 30:2,703.442437,704.449717,721.476267,726.431657,702.435157,0
PS O-31:2,703.478822,704.486102,721.512652,726.468042,702.471542,0
PS 28:3;O2,705.385317,706.392597,723.419147,728.374537,704.378037,0
PS 30:1,705.458087,706.465367,723.491917,728.447307,704.450807,0
PS O-31:1,705.494472,706.501752,723.528302,728.483692,704.487192,0
PS 28:2;O2,707.400967,708.408247,725.434797,730.390187,706.393687,0
PS 30:0,707.473737,708.481017,725.507567,730.462957,706.466457,0
PS O-31:0,707.510122,708.517402,725.543952,730.499342,706.502842,0
PS 31:4,713.426787,714.434067,731.460617,736.416007,712.419507,0
PS 31:3,715.442437,716.449717,733.476267,738.431657,714.435157,0
PS 31:2,717.458087,718.465367,735.491917,740.447307,716.450807,0
PS O-32:2,717.494472,718.501752,735.528302,740.483692,716.487192,0
PS 31:1,719.473737,720.481017,737.507567,742.462957,718.466457,0
PS O-32:1,719.510122,720.517402,737.543952,742.499342,718.502842,0
PS 28:3;O3,721.380232,722.387512,739.414062,744.369452,720.372952,0
PS 31:0,721.489387,722.496667,739.523217,744.478607,720.482107,0
PS O-32:0,721.525772,722.533052,739.559602,744.514992,720.518492,0
PS 28:2;O3,723.395882,724.403162,741.429712,746.385102,722.388602,0
PS 32:5,725.426787,726.434067,743.460617,748.416007,724.419507,0
PS 32:4,727.442437,728.449717,745.476267,750.431657,726.435157,0
PS 32:3,729.458087,730.465367,747.491917,752.447307,728.450807,0
PS O-33:3,729.494472,730.501752,747.528302,752.483692,728.487192,0
PS 30:4;O2,731.400967,732.408247,749.434797,754.390187,730.393687,0
PS 32:2,731.473737,732.481017,749.507567,754.462957,730.466457,0
PS O-33:2,731.510122,732.517402,749.543952,754.499342,730.502842,0
PS 30:3;O2,733.416617,734.423897,751.450447,756.405837,732.409337,0
PS 32:1,733.489387,734.496667,751.523217,756.478607,732.482107,0
